time,speed_compact_summer_test1,speed_compact_summer_test2,speed_compact_summer_test3,speed_compact_summer_test4,speed_compact_summer_test5,speed_compact_allSeason_test1,speed_compact_allSeason_test2,speed_compact_allSeason_test3,speed_compact_allSeason_test4,speed_compact_allSeason_test5,speed_compact_winter_test1,speed_compact_winter_test2,speed_compact_winter_test3,speed_compact_winter_test4,speed_compact_winter_test5,speed_sedan_summer_test1,speed_sedan_summer_test2,speed_sedan_summer_test3,speed_sedan_summer_test4,speed_sedan_summer_test5,speed_sedan_allSeason_test1,speed_sedan_allSeason_test2,speed_sedan_allSeason_test3,speed_sedan_allSeason_test4,speed_sedan_allSeason_test5,speed_sedan_winter_test1,speed_sedan_winter_test2,speed_sedan_winter_test3,speed_sedan_winter_test4,speed_sedan_winter_test5,speed_suv_summer_test1,speed_suv_summer_test2,speed_suv_summer_test3,speed_suv_summer_test4,speed_suv_summer_test5,speed_suv_allSeason_test1,speed_suv_allSeason_test2,speed_suv_allSeason_test3,speed_suv_allSeason_test4,speed_suv_allSeason_test5,speed_suv_winter_test1,speed_suv_winter_test2,speed_suv_winter_test3,speed_suv_winter_test4,speed_suv_winter_test5
9.84,21.759,13.933,-0.095,17.282,23.955,23.042,22.578,13.183,22.689,12.288,15.56,12.529,22.469,23.446,11.03,10.605,20.174,12.301,17.158,13.812,0.517,0.691,20.672,21.034,3.462,7.201,14.304,NaN,19.192,14.808,16.507,10.902,3.929,22.669,5.568,2.626,13.49,16.735,20.145,0.192,7.106,15.201,9.414,16.015,18.183
9.85,21.367,13.275,0.19,17.465,25.385,23.316,21.9,13.346,22.587,12.646,15.442,12.529,21.966,23.354,11.03,10.605,19.76,12.301,17.536,13.171,-0.232,0.501,20.44,22.718,4.843,8.292,13.997,18.968,19.739,15.778,16.89,9.9,3.242,22.546,5.292,2.011,13.163,17.474,20.92,0.659,6.978,16.617,8.782,15.4,18.435
9.86,20.793,14.087,0.06,17.816,24.886,22.441,22.315,14.073,22.41,11.862,15.415,12.529,21.653,23.129,11.03,10.605,20.725,12.301,17.487,12.119,-1.052,0.772,21.127,22.394,6.449,8.151,14.267,17.943,19.191,15.482,15.725,10.943,NaN,22.634,5.385,2.515,12.712,15.816,20.889,0.461,7.567,14.795,8.992,16.094,15.941
9.87,21.059,14.282,-1.676,18.176,NaN,23.537,22.201,13.9,23.419,11.835,16.295,12.529,23.154,22.928,11.03,10.605,NaN,12.301,18.377,12.057,-0.362,1.817,20.49,22.689,4.459,8.436,13.698,NaN,17.861,14.877,15.735,9.802,3.623,23.525,6.098,2.988,13.156,16.935,20.475,0.545,7.39,15.486,8.857,16.181,17.964
9.88,22.432,13.264,0.368,17.966,NaN,23.554,22.28,13.323,22.803,11.663,15.9,12.529,22.221,23.385,11.03,10.605,19.42,12.301,17.645,12.381,-0.225,1.354,21.187,23.549,4.798,10.184,13.688,18.183,18.788,14.787,17.019,9.775,4.305,23.219,6.875,3.264,12.971,16.339,20.487,0.962,7.737,15.166,7.89,16.613,16.274
9.89,21.77,14.542,0.123,19.477,23.933,24.168,22.118,15.169,23.581,10.668,16.776,12.529,22.313,23.51,11.03,10.605,NaN,12.301,17.18,12.165,-0.151,0.609,20.554,22.406,5.816,9.36,14.167,NaN,19.853,16.596,17.116,10.514,4.943,22.69,4.557,2.476,13.416,16.696,20.414,0.236,6.755,15.324,10.163,15.698,17.181
9.9,21.437,14.359,-0.023,18.613,24.563,23.534,22.385,14.942,23.513,12.036,16.658,12.529,23.047,22.654,11.03,10.605,20.891,12.301,18.075,13.417,0.002,2.131,20.77,22.708,5.346,7.555,14.465,18.122,18.731,15.744,15.882,10.291,4.803,22.661,5.371,4.118,14.184,17.878,21.169,-0.159,7.684,13.874,8.455,16.432,18.036
9.91,21.902,14.516,-0.949,17.5,25.292,23.677,21.955,13.897,23.086,11.612,16.392,12.529,22.538,23.19,11.03,10.605,20.888,12.301,18.007,13.843,0.86,1.74,20.807,22.907,5.187,8.638,13.774,19.134,19.697,15.389,16.422,10.455,3.298,21.99,6.215,3.614,13.581,17.266,21.376,-0.439,8.316,15.143,8.705,16.443,17.879
9.92,21.721,15.016,0.961,18.084,24.28,23.204,22.612,13.376,22.806,12.619,16.236,12.529,NaN,23.452,11.03,10.605,19.616,12.301,16.674,12.642,-0.009,2.209,21.17,23.275,6.748,8.906,14.113,18.3,18.868,14.585,16.201,10.041,3.967,22.208,6.456,2.226,13.547,16.799,20.835,-0.194,8.327,14.413,8.834,15.688,18.013
9.93,22.751,13.661,0.117,19.265,24.366,22.993,22.395,14.406,21.368,13.398,15.163,12.529,23.391,23.573,11.03,10.605,19.357,12.301,16.217,13.826,0.286,2.776,20.871,21.736,6.286,9.825,14.429,19.777,20.9,15.468,16.113,10.918,5.392,22.587,5.573,3.197,13.634,16.407,20.555,-0.781,8.049,14.253,9.122,15.834,NaN
9.94,21.332,14.574,0.198,18.86,24.432,22.356,23.314,13.772,23.232,12.443,16.31,12.529,21.698,22.485,11.03,10.605,20.937,12.301,17.082,13.571,0.215,2.533,21.234,23.028,5.305,10.193,14.311,19.528,18.881,16.184,15.787,10.812,3.449,23.305,6.509,2.541,12.512,16.933,20.166,-0.76,7.699,15.032,8.955,17.363,18.204
9.95,22.074,16.097,-0.262,19.137,24.143,23.086,23.177,13.752,23.045,12.827,17.619,12.529,23.098,22.157,11.03,10.605,21.021,12.301,17.399,12.325,-0.34,3.005,20.951,21.337,6.683,9.325,14.533,19.003,19.92,16.216,16.314,9.863,4.341,22.783,6.697,3.822,14.219,17.312,19.8,0.37,8.342,14.865,8.491,16.961,16.918
9.96,21.322,14.025,0.524,18.855,24.909,23.627,22.368,13.995,21.808,11.526,16.448,12.529,21.982,24.088,11.03,10.605,20.667,12.301,17.025,12.596,NaN,3.04,20.565,22.877,6.788,7.86,13.172,19.324,19.114,15.435,16.959,10.744,3.902,22.86,6.9,4.089,14.072,16.327,20.311,0.595,7.488,15.249,9.357,16.904,16.517
9.97,21.362,14.847,1.939,18.648,24.56,23.467,22.394,13.696,23.825,13.61,15.879,12.529,22.596,22.752,11.03,10.605,21,12.301,17.537,14.076,0.807,1.658,20.765,22.16,6.978,10.537,14.361,19.962,19.461,16.266,16.23,10.69,4.391,22.509,6.904,3.649,12.233,16.833,20.632,0.053,6.68,15.73,9.55,17.149,18.157
9.98,21.883,13.169,0.582,18.152,24.026,23.484,21.734,13.219,22.17,11.907,16.474,12.529,23.131,24.008,11.03,10.605,20.538,12.301,17.756,13.384,-0.657,1.892,20.53,22.189,5.818,8.853,15.054,19.294,20.037,15.171,16.793,9.597,5.245,23.969,6.817,3.43,13.766,17.327,20.623,0.875,7.619,15.615,9.791,16.635,18.054
9.99,21.231,13.739,2.704,19.22,24.462,24.353,22.578,15.119,23.248,11.773,16.435,12.529,22.165,22.291,11.03,10.605,22.545,12.301,17.06,13.548,0.811,2.609,21.478,21.331,7.085,9.3,14.493,18.409,19.515,15.172,16.816,10.578,4.218,22.383,7.075,4.143,13.339,16.446,21.159,-0.298,8.494,16.105,9.225,16.961,17.095
10,23.08,15.032,2.631,19.992,24.424,23.2,23.41,15.739,22.487,11.414,16.141,12.529,23.483,24.639,11.03,10.605,21.631,12.301,18.106,12.875,1.217,2.625,21.54,22.659,7.365,9.465,14.551,19.242,19.252,16.724,NaN,11.756,5.392,22.18,6.499,4.641,13.889,17.293,20.857,0.526,7.573,14.636,9.181,15.688,18.377
10.01,21.558,15.51,1.959,18.581,25.112,23.654,22.143,15.15,23.049,13.155,15.388,12.529,21.68,23.545,11.03,10.605,20.851,12.301,18.001,14.096,0.067,3.062,21.078,22.711,7.203,8.319,14.205,19.562,18.735,16.134,17.055,10.345,4.579,NaN,7.015,4.806,14.41,17.109,20.546,0.392,8.678,15.4,9.142,17.206,17.322
10.02,22.234,14.483,2.244,19.768,24.492,23.361,21.307,15.101,22.428,13.477,15.869,12.529,NaN,NaN,11.03,10.605,20.991,12.301,17.345,14.388,0.089,1.939,20.841,22.423,7.428,9.492,14.154,20.031,19.526,15.688,16.708,10.643,NaN,22.642,7.206,4.141,12.992,17.5,21.2,0.959,7.917,15.696,9.349,15.897,17.854
10.03,21.902,14.867,3.63,18.807,24.252,23.052,23.308,15.361,22.697,13.049,16.619,12.529,21.681,23.312,11.03,10.605,21.156,12.301,18.977,13.315,0.337,3.58,20.912,23.558,7.612,10.51,14.7,20.099,19.076,14.687,17.048,11.915,5.829,22.094,5.672,5.033,14.534,17.653,20.927,-0.083,7.923,15.339,10.411,16.761,17.599
10.04,22.546,15.691,1.971,18.174,25.052,24.009,21.839,14.358,22.181,12.007,17.284,12.529,22.59,22.826,11.03,10.605,21.325,12.301,18.788,13.334,1.892,2.87,21.87,23.616,5.983,8.683,14.157,19.191,20.648,16.279,17.873,11.114,5.376,NaN,6.338,5.079,14.48,16.825,20.623,0.744,8.153,15.851,9.434,16.551,18.076
10.05,23.112,15.288,4.21,18.962,24.598,22.14,22.663,14.968,23.442,12.398,16.049,12.529,NaN,23.09,11.03,10.605,20.889,12.301,18.487,13.89,1.38,2.64,21.355,23.413,6.324,9.943,13.571,18.504,19.401,16.627,16.818,11.432,5.575,23.426,7.042,4.726,14.633,16.815,20.953,-0.268,8.629,16.403,9.226,17.031,17.95
10.06,21.209,15.693,2.976,18.648,24.384,23.072,21.641,15.778,22.673,13.985,16.853,12.529,22.194,23.141,11.03,10.605,21.315,12.301,18.846,14.285,1.549,2.9,21.112,21.79,6.619,9.391,14.87,20.485,20.262,15.605,16.942,11.687,5.771,21.8,8.053,3.81,14.01,18.88,20.533,0.864,8.568,16.694,9.812,16.077,17.84
10.07,21.9,15.229,2.812,19.268,24.289,22.797,22.892,16.097,23.156,NaN,17.018,12.529,22.476,23.772,11.03,10.605,21.215,12.301,18.233,14.385,1.023,3.078,20.008,22.777,7.788,10.088,14.827,19.021,19.177,15.861,17.165,11.421,5.624,22.667,7.809,3.901,14.487,16.776,20.825,0.998,8.58,16.041,9.815,15.792,18.44
10.08,21.856,15.391,3.547,19.972,24.571,24.593,21.973,14.128,21.999,12.694,17.016,12.529,22.92,23.343,11.03,10.605,20.865,12.301,17.911,14.773,1.654,2.416,20.766,23.113,8.171,10.119,15.054,20.031,19.19,16.398,17.523,12.01,5.356,23.553,7.948,5.256,13.802,17.835,21.802,0.864,7.99,15.367,9.637,16.925,17.518
10.09,21.307,14.391,2.648,19.601,24.306,23.91,21.228,15.334,21.872,NaN,16.764,12.529,23.661,NaN,11.03,10.605,20.116,12.301,18.424,13.934,1.138,NaN,20.919,23.468,6.745,10.525,14.506,20.209,18.691,16.767,16.831,11.163,5.624,21.85,6.805,4.612,14.336,17.211,20.869,0.186,9.525,15.115,9.733,15.871,17.555
10.1,21.292,16.326,3.031,19.425,23.94,23.722,22.553,NaN,22.6,12.688,16.591,12.529,23.363,24.74,11.03,10.605,21.54,12.301,18.992,13.902,2.138,3.68,20.354,21.976,6.882,NaN,15.08,19.141,18.767,15.718,16.057,10.851,5.738,22.317,7.683,4.601,13.375,17.405,21.338,1.039,7.89,15.74,9.599,16.654,16.26
10.11,21.163,15.984,4.375,19.198,25.096,22.752,22.295,15.165,23.572,12.923,16.733,12.529,22.523,23.839,11.03,10.605,21.776,12.301,17.973,14.931,0.758,2.863,20.998,22.501,8.494,10.404,14.66,19.359,20.555,16.299,16.482,11.872,6.153,23.166,8.212,5.185,14.783,17.997,19.905,2.048,7.645,14.861,10.578,17.473,18.648
10.12,22.721,15.046,4.062,19.069,24.09,22.2,22.644,14.795,23.307,14.4,16.938,12.529,23.754,24.142,11.03,10.605,20.461,12.301,18.692,13.598,2.513,3.982,21.143,23.07,8.091,10.072,14.751,19.199,19.269,15.878,NaN,12.534,7.05,23.339,7.157,5.428,14.802,17.983,19.831,0.643,8.901,14.788,9.922,17.061,18.095
10.13,22.375,15.619,4.434,20.447,25.663,24.272,23.378,15.873,22.556,15.146,16.847,12.529,22.529,23.384,11.03,10.605,22.569,12.301,18.103,14.926,1.794,3.318,21.328,22.907,8.345,9.801,14.911,20.381,20.55,16.318,16.311,12.621,6.732,21.713,8.148,4.848,12.95,16.996,21.535,1.748,9.081,15.907,10.324,17.085,16.701
10.14,22.019,16.355,4.238,18.325,24.612,24.295,22.511,14.469,23.498,13.934,16.108,12.529,23.512,23.826,11.03,10.605,20.636,12.301,18.309,14.522,2.763,2.884,22.219,23.598,8.393,NaN,14.307,19.504,19.203,17.229,16.335,NaN,6.512,22.74,7.849,4.99,14.002,17.438,20.879,1.653,7.86,14.947,10.6,16.347,17.741
10.15,21.934,15.996,3.402,19.782,24.843,22.574,23.056,16.072,24.024,13.942,17.386,12.529,23.439,23.856,11.03,10.605,21.475,12.301,19.514,14.092,3.092,4.667,21.478,23.91,7.189,NaN,14.437,18.205,20.986,16.354,17.046,12.602,5.221,22.465,7.855,5.45,14.263,16.039,20.734,2.537,8.973,16.052,10.859,17.02,17.528
10.16,21.704,17.126,4.296,20.33,24.92,NaN,22.539,15.212,22.917,13.76,16.436,12.529,22.206,24.484,11.03,10.605,21.253,12.301,19.085,13.355,2.583,4.15,20.312,22.392,8.751,10.015,15.037,19.433,19.152,16.563,17.479,13.035,7.662,22.605,8.397,5.408,NaN,16.17,20.063,2.4,9.26,NaN,10.308,16.866,18.174
10.17,22.797,16.063,4.116,19.684,25.018,23.246,22.809,14.729,22.764,13.778,16.47,12.529,22.808,23.73,11.03,10.605,21.779,12.301,18.943,15.336,3.403,4.118,20.418,23.825,8.362,10.816,14.376,18.806,19.796,16.529,17.502,12.418,6.846,22.911,8.965,4.761,15.273,18.667,21.143,2.985,8.996,15.706,9.765,16.232,18.289
10.18,21.958,16.758,5.317,20.163,25.184,23.961,22.393,15.751,23.266,14.221,16.864,12.529,22.916,24.566,11.03,10.605,22.13,12.301,18.64,14.173,2.656,4.886,20.996,23.184,8.296,10.83,14.831,20.107,19.927,16.035,17.087,12.488,7.272,22.4,7.986,4.817,14.764,17.826,20.854,2.985,8.577,16.083,8.6,16.569,17.918
10.19,22.858,17.149,5.451,20.974,24.21,23.657,22.851,15.914,22.203,13.374,16.847,12.529,23.177,22.667,11.03,10.605,20.579,12.301,19.487,14.549,2.99,4.264,20.078,23.758,8.559,11.141,14.782,20.257,20.863,16.638,17.044,12.157,8.278,22.448,8.461,6.014,15.289,17.153,20.976,0.81,6.785,15.885,10.152,16.859,17.926
10.2,21.668,NaN,4.637,20.023,25.112,23.453,22.304,15.02,22.879,12.906,17.306,12.529,23.626,24.047,11.03,10.605,21.39,12.301,19.718,15.443,3.375,3.706,22.319,23.718,8.724,10.205,14.938,19.771,19.006,16.656,NaN,NaN,7.22,22.27,7.796,4.669,15.224,17.15,21.442,2.533,9.17,16.293,9.837,17.083,18.49
10.21,21.992,17.436,5.571,19.649,24.664,22.68,22.449,14.322,23.079,14.93,18.11,12.529,23.446,23.155,11.03,10.605,20.506,12.301,18.97,15.318,3.554,4.137,21.215,22.546,9.185,11.181,15.09,20.081,20.398,15.637,18.048,12.217,6.18,22.784,8.958,6.083,14.876,18.103,20.072,2.786,9.144,15.531,10.502,17.958,17.934
10.22,21.872,17.351,5.334,19.98,23.676,24.428,22.118,16.052,22.309,14.522,17.324,12.529,23.65,23.771,11.03,10.605,21.047,12.301,18.079,15.492,2.667,4.19,20.112,22.107,8.45,10.57,14.485,20.178,19.647,16.553,17.426,11.627,7.501,23.243,8.858,7.158,13.416,18.553,20.782,2.419,8.817,14.702,10.011,17.136,17.434
10.23,21.534,16.921,6.13,18.968,24.387,23.591,22.969,15.8,23.574,14.318,NaN,12.529,22.758,23.209,11.03,10.605,21.027,12.301,19.334,14.798,3.343,4.231,21.014,22.866,8.811,9.951,16.146,19.273,20.089,16.879,17.97,12.754,9.103,22.506,8.849,5.733,14.53,17.375,20.656,2.775,8.646,15.51,10.219,17.806,NaN
10.24,23,17.447,5.946,19.37,24.267,24.29,NaN,15.418,23.422,13.556,17.143,12.529,22.951,24.638,11.03,10.605,20.596,12.301,19.057,15,3.943,4.962,21.982,22.952,8.83,11.613,15.275,20.594,19.414,17.337,17.454,12.82,7.167,23.688,9.151,5.664,13.988,18.699,20.677,2.282,9.374,15.845,9.829,17.114,18.36
10.25,22.263,16.362,4.713,20.365,24.58,22.819,22.873,16.386,23.376,14.298,17.694,12.529,23.234,22.627,11.03,10.605,22.56,12.301,19.304,NaN,4.098,5.274,21.46,22.406,10.312,9.951,NaN,19.675,20.075,16.502,18.568,12.514,7.317,22.678,10.091,5.716,14.985,16.96,19.562,2.573,9.744,15.428,10.256,16.323,18.42
10.26,22.444,17.384,5.295,21.252,23.743,22.551,22.303,15.95,23.24,15.015,17.182,12.529,23.76,23.654,11.03,10.605,21.799,12.301,17.867,15.824,3.626,4.892,22.422,22.782,9.375,11.224,15.382,20.545,20.266,16.669,17.466,12.93,8.049,22.087,8.377,6.592,14.863,17.844,20.865,3.182,9.125,16.397,10.063,17.392,18.405
10.27,22.984,NaN,6.447,21.018,24.444,23.95,22.81,15.591,23.1,13.678,17.684,12.529,22.65,24.263,11.03,10.605,21.941,12.301,19.53,14.581,3.39,5.567,21.219,23.753,8.378,11.457,14.307,19.113,20.368,17.705,16.658,13.631,7.326,23.524,8.969,5.954,15.495,16.232,20.614,2.456,9.282,16.157,10.157,17.162,18.012
10.28,22.73,17.563,7.089,21.673,25.066,23.531,22.895,15.474,22.826,14.922,17.471,12.529,23.464,24.119,11.03,10.605,21.61,12.301,18.459,16.039,3.952,5.741,20.455,22.734,9.142,10.94,14.439,19.355,20.664,16.467,17.824,13.203,7.912,21.54,NaN,5.932,15.716,17.294,21.378,3.126,9.126,15.531,9.952,17.262,18.533
10.29,21.253,18.765,7.906,20.876,24.137,24.13,22.123,15.985,22.642,14.68,16.814,12.529,22.155,22.508,11.03,10.605,22.333,12.301,NaN,16.249,4.636,5.851,NaN,22.964,8.832,11.638,15.421,20.482,20.052,15.421,17.402,12.32,NaN,22.231,9.124,6.165,15.697,17.53,21.332,2.673,10.131,15.346,10.539,17.305,18.243
10.3,22.645,16.734,6.984,20.471,NaN,23.304,22.191,16.578,22.936,14.921,17.395,12.529,23.861,23.877,11.03,10.605,21.42,12.301,19.362,16.078,4.811,4.24,22.262,23.143,10.814,10.857,15.871,19.379,18.884,17.552,17.759,12.998,9.269,22.664,8.749,6.87,14.615,16.983,21.023,2.392,9.491,16.322,10.263,16.176,17.708
10.31,22.275,18.486,7.688,21.136,25.116,23.278,22.313,16.435,23.83,14.592,NaN,12.529,22.893,23.888,11.03,10.605,21.327,12.301,19.081,15.977,5.2,6.581,21.265,22.395,10.079,10.883,15.619,19.855,20.539,16.51,17.09,13.314,7.595,22.732,9.603,7.503,15.867,18.586,20.599,3.715,9.019,15.885,10.078,16.292,18.485
10.32,22.462,17.129,7.653,19.325,25.064,24.715,22.898,16.425,23.716,14.241,17.787,12.529,23.185,24.177,11.03,10.605,21.249,12.301,19.099,14.85,3.48,4.994,21.619,23.84,9.878,12.284,16.1,19.214,19.611,17.651,16.995,12.101,8.611,23.076,9.389,6.469,14.864,17.796,21.676,3.212,8.465,16.08,10.826,16.991,17.982
10.33,22.43,18.236,8.019,20.508,24.481,22.686,22.757,16.916,22.901,15.687,17.839,12.529,22.56,22.186,11.03,10.605,21.956,12.301,18.179,15.95,5.358,5.473,21.019,22.672,10.053,10.258,15.279,NaN,20.831,15.85,18.387,12.636,9.034,23.671,9.348,6.508,15.852,19.344,21.296,2.718,7.712,17.059,10.566,16.816,18.632
10.34,NaN,17.04,6.166,21.078,24.58,24.129,21.041,16.771,23.511,14.881,16.681,12.529,22.534,23.64,11.03,10.605,21.23,12.301,19.578,16.227,NaN,5.486,22.039,23.277,11.16,10.843,14.524,NaN,20.684,17.169,17.36,13.831,8.693,23.169,8.503,7.022,14.938,16.585,21.08,3.19,8.92,16.15,11.308,17.541,17.889
10.35,21.901,19.315,7.915,20.938,24.945,23.941,21.704,14.836,22.554,14.754,17.916,12.529,23.508,22.532,11.03,10.605,22.248,12.301,19.499,15.793,4.071,5.487,21.475,23.716,10.666,11.856,16.784,20.147,20.386,16.082,17.952,13.769,8.373,23.278,8.935,6.541,14.216,18.626,21.248,2.754,9.586,17.392,10.434,17.584,18
10.36,22.979,17.182,8.163,20.352,24.768,24.162,22.704,15.661,22.719,14.685,17.681,12.529,23.414,23.311,11.03,10.605,21.333,12.301,18.926,16.708,5.444,6.412,21.981,23.713,9.5,11.749,15.673,20.106,21.037,17.161,17.259,13.131,8.131,22.763,10.1,6.077,15.757,18.498,20.947,4.167,9.924,NaN,11.52,16.62,18.491
10.37,22.548,17.82,7.964,20.722,25.713,24.07,22.198,16.531,22.892,15.475,17.976,12.529,22.96,23.073,11.03,10.605,21.544,12.301,NaN,15.468,5.385,6.631,22.047,23.239,10.062,12.553,15.143,19.286,19.945,17.525,18.322,13.322,8.439,21.717,9.424,7.092,14.469,18.152,20.261,NaN,10.474,14.787,11.531,17.367,17.384
10.38,22.13,18.237,8.707,19.666,24.355,23.771,21.924,16.887,23.299,14.807,16.858,12.529,24.084,23.707,11.03,10.605,21.345,12.301,18.322,15.729,4.576,5.823,21.784,23.014,11.118,11.972,15.309,20.391,20.474,17.414,16.877,13.552,9.623,23.764,8.768,8.136,15.408,17.105,21.48,2.669,9.028,15.318,10.624,16.379,17.884
10.39,22.237,18.352,6.997,20.268,25.051,23.461,21.438,16.808,22.668,15.501,17.333,12.529,23.599,22.571,11.03,10.605,22.403,12.301,19.783,16.515,5.726,6.731,21.448,23.902,9.841,11.247,14.535,19.583,20.734,17.76,17.904,12.283,8.16,23.809,10.207,8.213,15.597,17.428,21.389,3.668,9.881,16.314,10.631,16.069,17.857
10.4,22.469,18.507,8.34,19.871,25.605,24.812,22.651,16.757,22.95,14.807,17.828,12.529,23.544,24.208,11.03,10.605,22.073,12.301,19.304,15.855,5.95,7.197,20.741,23.108,11.041,11.745,16.385,20.446,20.637,17.723,NaN,13.845,8.897,22.398,8.921,7.365,15.82,18.241,21.109,4.582,10.026,16.294,10.168,17.23,17.644
10.41,23.506,18.642,9.272,21.109,24.773,24.734,22.515,15.628,22.872,15.06,18.518,12.529,22.953,24.02,11.03,10.605,21.233,12.301,20.142,15.417,6.138,5.728,21.832,23.362,10.216,11.625,15.909,19.243,20.787,16.293,18.426,12.742,8.182,23.875,9.617,7.623,14.558,17.97,20.822,4.49,10.085,16.627,11.246,17.33,17.884
10.42,23.536,19.088,9.338,20.782,24.304,23.197,23.047,17.656,23.543,14.781,17.24,12.529,24.102,23.046,11.03,10.605,21.345,12.301,20.889,16.41,5.682,7.457,21.468,22.427,NaN,10.616,15.966,20.082,20.162,17.71,17.569,13.709,8.697,22.676,10.127,8.408,14.931,17.165,20.824,4.642,10.153,15.869,10.547,17.001,17.75
10.43,22.603,18.711,8.975,21.776,24.636,23.494,21.688,17.173,23.535,15.808,18.237,12.529,23.938,23.85,11.03,10.605,20.639,12.301,20.261,15.94,5.536,6.886,21.52,22.593,11.507,12.258,15.603,20.387,21.104,16.981,17.17,13.296,9.642,23.468,9.483,8.101,15.745,17.328,20.578,4.51,9.012,NaN,11.582,17.766,17.905
10.44,21.899,18.431,8.842,20.784,25.058,23.973,21.511,16.72,24.052,NaN,17.096,12.529,23.919,23.962,11.03,10.605,21.505,12.301,20.014,15.469,5.947,6.554,20.034,22.387,11.512,11.875,16.941,20.611,19.849,17.867,17.503,13.461,10.117,22.767,9.393,7.03,15.408,18.149,20.759,4.008,10.934,15.706,NaN,17.397,17.761
10.45,23.564,18.531,9.137,21.122,24.643,23.379,22.601,16.658,22.948,14.452,NaN,12.529,23.736,23.299,11.03,10.605,22.19,12.301,19.749,16.915,6.245,6.736,20.793,23.319,10.588,11.071,16.829,19.906,20.141,16.931,17.893,NaN,NaN,23.538,9.874,7.737,16.981,18.564,21.375,3.216,10.132,16.724,10.333,17.142,17.542
10.46,21.916,17.7,7.963,20.113,25.157,23.834,23.176,17.501,22.695,14.664,17.06,12.529,23.178,23.402,11.03,10.605,22.757,12.301,18.81,16.984,5.728,5.77,21.834,22.769,10.663,11.451,15.929,19.436,20.217,17.944,18.311,14.142,10.583,22.394,10.198,7.737,14.592,17.612,21.201,4.868,10.153,16.6,11.341,17.055,18.738
10.47,NaN,17.903,8.854,20.76,NaN,24.302,23.232,17.492,22.833,16.032,16.662,12.529,23.104,24.309,11.03,10.605,22.413,12.301,19.263,17.045,6.084,7.191,20.554,23.123,11.419,10.866,15.901,21.356,20.183,18.008,NaN,13.566,9.712,23.66,10.636,7.625,15.698,16.597,21.655,NaN,9.828,15.979,11.094,17.884,18.542
10.48,23.52,18.755,9.405,22.406,24.897,25.244,23.955,15.911,23.833,15.698,18.072,12.529,23.123,24.414,11.03,10.605,22.652,12.301,18.494,16.219,5.206,6.708,22.687,23.161,11.085,11.866,14.702,19.909,20.389,17.231,NaN,14.039,10.242,23.36,10.155,8.038,14.791,17.166,21.258,4.73,11.295,16.686,10.965,17.81,18.824
10.49,22.613,18.319,9.965,22.659,25.015,23.105,22.775,16.917,23.73,15.926,18.272,12.529,24.21,23.608,11.03,10.605,21.015,12.301,21.009,16.023,6.511,7.693,21.83,23.565,10.926,11.462,15.507,21.019,21.389,16.82,18.656,14.561,10.344,22.852,10.723,7.454,14.365,18.211,21.261,5.453,10.631,16.415,10.923,18.409,19.016
10.5,22.814,18.854,9.989,22.667,25.081,22.554,22.893,16.662,24.429,15.903,18.748,12.529,23.298,24.484,11.03,10.605,22.506,12.301,20.34,16.32,6.526,7.117,21.535,23.863,12.485,12.738,15.846,20.153,19.221,15.932,17.612,12.87,10.108,23.61,11.202,7.716,15.979,18.25,21.454,3.747,10.775,16.261,10.883,16.491,18.92
10.51,23.234,18.577,10.428,20.738,NaN,23.353,22.947,17.358,23.183,14.928,17.007,12.529,23.377,23.748,11.03,10.605,22.97,12.301,20.924,15.484,7.005,6.468,22.25,23.506,12.265,11.275,16.429,19.122,20.274,16.311,18.216,13.532,10.497,23.457,10.412,9.02,15.689,18.161,21.502,5.145,10.061,16.087,10.973,16.743,18.797
10.52,23.352,19.328,9.956,22.113,24.245,24.311,22.283,17.199,23.866,15.144,16.86,12.529,23.607,23.329,11.03,10.605,21.552,12.301,20.324,15.716,5.449,8.044,21.798,23.365,12.138,12.59,15.128,21.071,20.815,17.937,17.621,14.464,10.762,23.709,11.155,7.85,16.542,17.426,21.407,4.858,9.91,15.334,11.464,15.927,17.078
10.53,23.597,18.456,10.359,20.698,NaN,23.366,22.648,17.172,23.113,15.546,17.42,12.529,22.919,23.681,11.03,10.605,22.976,12.301,20.413,16.25,NaN,6.874,21.419,23.683,11.22,13.227,16.652,19.894,20.646,16.528,18.126,14.116,10.377,22.656,11.177,8.808,16.181,18.579,21.046,6.003,10.12,16.263,11.59,16.735,19.312
10.54,22.877,18.538,10.381,20.824,25.423,22.605,23.855,17.219,23.172,16.176,18.709,12.529,23.351,24.22,11.03,10.605,22.186,12.301,18.864,17.245,6.251,6.837,21.533,22.95,12.071,12.275,15.862,19.758,20.611,17.907,17.912,13.85,9.647,23.054,NaN,7.283,15.709,18.217,21.471,4.872,10.573,17.359,10.94,17.712,18.536
10.55,23.789,19.922,10.936,21.491,25.713,23.668,22.662,17.284,23.776,15.83,18.595,12.529,24.068,23.914,11.03,10.605,21.768,12.301,20.123,16.786,7.822,7.549,21.95,23.176,11.512,13.13,15.279,19.886,20.299,16.659,18.55,14.482,10.008,23.337,11.01,8.389,15.461,18.87,21.333,5.443,10.004,NaN,11.277,17.499,18.707
